TABLE NO.  1
 ID          DOSTIMW     TIME        ADDLTIME    TSTATEW     A1          A4          A5          ADDL        ADDLA
  1.000E+02   0.000E+00   8.140E+02   8.140E+02   8.130E+02   3.400E+01   2.744E+02   4.294E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.150E+02   8.150E+02   8.140E+02   3.208E+01   2.691E+02   4.049E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.160E+02   8.160E+02   8.150E+02   3.027E+01   2.637E+02   3.820E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.180E+02   8.180E+02   8.160E+02   2.695E+01   2.523E+02   3.400E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.200E+02   8.200E+02   8.180E+02   2.400E+01   2.405E+02   3.027E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.220E+02   8.220E+02   8.200E+02   2.137E+01   2.285E+02   2.695E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.240E+02   8.240E+02   8.220E+02   1.903E+01   2.164E+02   2.400E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.260E+02   8.260E+02   8.240E+02   1.694E+01   2.044E+02   2.137E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.280E+02   8.280E+02   8.260E+02   1.508E+01   1.927E+02   1.903E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.300E+02   8.300E+02   8.280E+02   1.343E+01   1.812E+02   1.694E+01   0.000E+00   0.000E+00
