TABLE NO.  1
 ID          ADDLTIME    A1          A2          A3          A4          A5          EVID        ADDL        ADDLA
  1.0000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00 -1.0000E+02  0.0000E+00
  1.0000E+02  3.1990E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2000E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2100E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2200E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2300E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2400E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2500E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2600E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2700E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2790E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2800E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.2900E+02  6.3731E+01  1.0702E+02  5.7764E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3000E+02  5.7418E+01  1.0307E+02  5.5133E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3100E+02  5.2872E+01  9.8261E+01  5.1435E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3200E+02  4.9261E+01  9.3200E+01  4.6931E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3300E+02  4.6180E+01  8.8175E+01  4.2823E+01  2.9308E+02  6.3731E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3400E+02  4.3429E+01  8.3312E+01  3.9704E+01  2.9056E+02  5.7418E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3500E+02  4.0909E+01  7.8666E+01  3.7126E+01  2.8712E+02  5.2872E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3600E+02  3.8568E+01  7.4255E+01  3.4869E+01  2.8306E+02  4.9261E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.3800E+02  3.4316E+01  6.6131E+01  3.0935E+01  2.7371E+02  4.3429E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.4000E+02  3.0548E+01  5.8884E+01  2.7517E+01  2.6323E+02  3.8568E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.4200E+02  2.7198E+01  5.2429E+01  2.4494E+01  2.5202E+02  3.4316E+01  0.0000E+00  0.0000E+00  4.0000E+01
